kernel,version,mode,dtype,size_of_dtype,n,block_size,grid_size,interm_stage_elems,repeat,avg_ms,min_ms,max_ms,std_ms,bytes,bw_GB_s,gflops,result,ref,abs_error,rel_error,correct
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,256,1024,1024,10,0.007573,0.007092,0.007986,0.000,4096,0.541,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,256,1024,1024,50,0.001736,0.001734,0.001774,0.000,4100,2.361,0.589,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,256,432,432,100,0.007373,0.007136,0.009088,0.000,1050304,142.444,35.552,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,256,432,432,10,0.007472,0.007139,0.007671,0.000,1728,0.231,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,256,432,432,50,0.000747,0.000745,0.000777,0.000,1732,2.319,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,256,432,432,100,0.010683,0.010400,0.015808,0.001,1050304,98.320,24.539,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,262144,256,432,1,10,0.007356,0.007003,0.007640,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,262144,256,432,432,100,0.013401,0.012896,0.015072,0.000,1050304,78.373,19.561,262144.000,262144.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,262144,256,432,1,10,0.007447,0.006886,0.007724,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,262144,512,512,1,3,0.639659,0.638368,0.642144,0.002,1048580,1.639,0.410,262144.000,262144.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,262144,512,512,1,10,0.007749,0.007530,0.008010,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,262144,512,512,512,100,0.008767,0.008512,0.009440,0.000,1050624,119.842,29.902,262144.000,262144.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,512,512,512,10,0.007537,0.006985,0.007856,0.000,2048,0.272,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,512,512,512,50,0.000881,0.000879,0.000916,0.000,2052,2.330,0.580,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,512,432,432,100,0.008429,0.008000,0.022944,0.001,1050304,124.599,31.099,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,512,432,432,10,0.007498,0.007153,0.007788,0.000,1728,0.230,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,512,432,432,50,0.000747,0.000746,0.000777,0.000,1732,2.319,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,512,432,432,100,0.011567,0.011360,0.013376,0.000,1050304,90.799,22.662,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,262144,512,432,1,10,0.007405,0.007087,0.007622,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,262144,512,432,432,100,0.014305,0.013984,0.016576,0.000,1050304,73.422,18.325,262144.000,262144.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,262144,512,432,1,10,0.007364,0.006936,0.007587,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,262144,1024,256,1,3,0.639339,0.638400,0.641120,0.001,1048580,1.640,0.410,262144.000,262144.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,262144,1024,256,1,10,0.008810,0.007502,0.019595,0.004,4,0.000,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,262144,1024,256,256,100,0.009656,0.009376,0.016832,0.001,1049600,108.699,27.148,262144.000,262144.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,1024,256,256,10,0.007557,0.007144,0.008637,0.001,1024,0.135,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,1024,256,256,50,0.000453,0.000452,0.000487,0.000,1028,2.268,0.563,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,1024,432,432,100,0.010887,0.010624,0.012832,0.000,1050304,96.470,24.078,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,1024,432,432,10,0.007467,0.006977,0.007899,0.000,1728,0.231,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,1024,432,432,50,0.000747,0.000745,0.000779,0.000,1732,2.318,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,1024,432,432,100,0.014189,0.013952,0.016256,0.000,1050304,74.023,18.475,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,262144,1024,432,1,10,0.007328,0.006942,0.007734,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,262144,1024,432,432,100,0.016815,0.016416,0.018688,0.000,1050304,62.461,15.589,262144.000,262144.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,262144,1024,432,1,10,0.007251,0.007024,0.007654,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cpu_serial,cpu,fp32,4,524288,0,0,0,10,0.878199,0.875959,0.887681,0.004,2097152,2.388,0.597,524288.000,524288.000,0.000,0.000,true
reduction,cpu_omp,cpu,fp32,4,524288,0,0,0,10,0.063673,0.051027,0.175052,0.037,2097152,32.936,8.234,524288.000,524288.000,0.000,0.000,true
reduction,all_gpu_version,h2d,fp32,4,524288,0,0,0,10,0.092471,0.090617,0.104844,0.004,2097152,22.679,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,524288,64,8192,1,3,1.273856,1.269888,1.281376,0.005,2097156,1.646,0.412,524288.000,524288.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,524288,64,8192,1,10,0.007601,0.007402,0.008587,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,524288,64,8192,8192,100,0.013066,0.012704,0.021056,0.001,2129920,163.017,40.127,524288.000,524288.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,524288,64,8192,8192,10,0.008800,0.008289,0.009498,0.000,32768,3.724,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,524288,64,8192,8192,50,0.013741,0.013711,0.013744,0.000,32772,2.385,0.596,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,524288,64,432,432,100,0.010423,0.010208,0.014784,0.000,2098880,201.375,50.302,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,524288,64,432,432,10,0.007409,0.006999,0.008118,0.000,1728,0.233,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,524288,64,432,432,50,0.000747,0.000746,0.000769,0.000,1732,2.318,0.577,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,524288,64,432,432,100,0.013973,0.013728,0.017216,0.000,2098880,150.208,37.521,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,524288,64,432,1,10,0.007669,0.007318,0.007881,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,524288,64,432,432,100,0.016796,0.016480,0.020480,0.000,2098880,124.967,31.216,524288.000,524288.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,524288,64,432,1,10,0.007305,0.007064,0.007968,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,524288,128,4096,1,3,1.271947,1.270080,1.275552,0.003,2097156,1.649,0.412,524288.000,524288.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,524288,128,4096,1,10,0.007831,0.007589,0.008519,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,524288,128,4096,4096,100,0.010301,0.010048,0.012000,0.000,2113536,205.182,50.898,524288.000,524288.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,524288,128,4096,4096,10,0.008037,0.007813,0.008744,0.000,16384,2.039,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,524288,128,4096,4096,50,0.006884,0.006868,0.006906,0.000,16388,2.381,0.595,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,524288,128,432,432,100,0.008535,0.008320,0.012320,0.000,2098880,245.913,61.428,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,524288,128,432,432,10,0.007365,0.006953,0.007883,0.000,1728,0.235,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,524288,128,432,432,50,0.000747,0.000746,0.000767,0.000,1732,2.319,0.577,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,524288,128,432,432,100,0.012080,0.011872,0.015584,0.000,2098880,173.753,43.402,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,524288,128,432,1,10,0.007379,0.006942,0.007891,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,524288,128,432,432,100,0.014944,0.014560,0.018208,0.000,2098880,140.447,35.083,524288.000,524288.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,524288,128,432,1,10,0.007347,0.007051,0.007881,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,524288,256,2048,1,3,1.272117,1.270208,1.275776,0.003,2097156,1.649,0.412,524288.000,524288.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,524288,256,2048,1,10,0.007642,0.007430,0.008342,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,524288,256,2048,2048,100,0.010209,0.010016,0.012128,0.000,2105344,206.219,51.354,524288.000,524288.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,524288,256,2048,2048,10,0.007761,0.007218,0.008389,0.000,8192,1.055,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,524288,256,2048,2048,50,0.003463,0.003445,0.003470,0.000,8196,2.367,0.591,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,524288,256,432,432,100,0.007936,0.007648,0.011360,0.000,2098880,264.465,66.062,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,524288,256,432,432,10,0.007661,0.007100,0.008118,0.000,1728,0.226,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,524288,256,432,432,50,0.000747,0.000746,0.000768,0.000,1732,2.319,0.577,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,524288,256,432,432,100,0.011440,0.011232,0.014816,0.000,2098880,183.474,45.831,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,524288,256,432,1,10,0.007312,0.006892,0.007675,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,524288,256,432,432,100,0.014331,0.013824,0.017344,0.000,2098880,146.459,36.584,524288.000,524288.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,524288,256,432,1,10,0.007369,0.007065,0.007768,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,524288,512,1024,1,3,1.272053,1.270112,1.275552,0.002,2097156,1.649,0.412,524288.000,524288.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,524288,512,1024,1,10,0.007660,0.007429,0.008263,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,524288,512,1024,1024,100,0.010943,0.010688,0.012768,0.000,2101248,192.017,47.911,524288.000,524288.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,524288,512,1024,1024,10,0.008646,0.007204,0.018894,0.003,4096,0.474,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,524288,512,1024,1024,50,0.001738,0.001734,0.001871,0.000,4100,2.359,0.588,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,524288,512,432,432,100,0.008660,0.008320,0.017920,0.001,2098880,242.360,60.540,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,524288,512,432,432,10,0.008634,0.007283,0.018868,0.003,1728,0.200,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,524288,512,432,432,50,0.000747,0.000745,0.000772,0.000,1732,2.319,0.577,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,524288,512,432,432,100,0.012204,0.011904,0.016064,0.000,2098880,171.985,42.961,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,524288,512,432,1,10,0.007377,0.007153,0.007768,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,524288,512,432,432,100,0.015043,0.014560,0.019552,0.001,2098880,139.524,34.852,524288.000,524288.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,524288,512,432,1,10,0.007507,0.006898,0.007834,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,524288,1024,512,1,3,1.272224,1.270048,1.276384,0.003,2097156,1.648,0.412,524288.000,524288.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,524288,1024,512,1,10,0.007715,0.007428,0.009184,0.001,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,524288,1024,512,512,100,0.012213,0.011904,0.014400,0.000,2099200,171.881,42.928,524288.000,524288.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,524288,1024,512,512,10,0.007341,0.006747,0.008205,0.000,2048,0.279,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,524288,1024,512,512,50,0.000881,0.000879,0.000903,0.000,2052,2.330,0.580,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,524288,1024,432,432,100,0.011443,0.011104,0.016320,0.001,2098880,183.427,45.819,524288.000,524288.000,0.000,0.000,true
